	time	V(na)	V(nt)	I(Rgnd)	I(Rrad)	power
322	1970-01-01 00:00:00.000000322	0.08785981624555667	0.23974381062135644	0.012202752248329306	2.9702943372836984e-07	1.9714427904972927e-10
323	1970-01-01 00:00:00.000000323	0.08815070857660089	0.24034136983529747	0.01224315395925032	2.981524183532656e-07	1.969240078501031e-10
324	1970-01-01 00:00:00.000000324	0.08844146118582254	0.2409400629240139	0.01228353625982579	3.0125219720913535e-07	1.9679830002754145e-10
325	1970-01-01 00:00:00.000000325	0.08873251783045215	0.24153229538657334	0.012323960816983066	3.04988890850433e-07	1.9664496530892019e-10
326	1970-01-01 00:00:00.000000326	0.08902361212146893	0.24212644707980227	0.012364390566031074	3.051519212052542e-07	1.9631624108721234e-10
327	1970-01-01 00:00:00.000000327	0.08931515813021584	0.24270911279270396	0.012404883087784781	3.071185550889679e-07	1.9600667992525562e-10
328	1970-01-01 00:00:00.000000328	0.08960643915695753	0.2432649793656314	0.012445338770910861	3.1933385430636805e-07	1.946449004238053e-10
329	1970-01-01 00:00:00.000000329	0.08989823710439251	0.24389026303674505	0.012485866264606505	3.0420560537936085e-07	1.9542244826237828e-10
330	1970-01-01 00:00:00.000000330	0.09019004406767155	0.24447693611960225	0.01252639500509469	3.0507133450759295e-07	1.9521160366591065e-10
331	1970-01-01 00:00:00.000000331	0.09048216045704671	0.2450648367635204	0.012566966719708387	3.012325780127721e-07	1.9512051963956136e-10
332	1970-01-01 00:00:00.000000332	0.09077430151631344	0.24566410078081427	0.012607541871165643	3.000212328734549e-07	1.9540145819999337e-10
333	1970-01-01 00:00:00.000000333	0.09106626324301993	0.24627916666781421	0.012648092119323856	3.095402615969635e-07	1.966686059639959e-10
334	1970-01-01 00:00:00.000000334	0.09135852809063154	0.24686190060032248	0.012688684456107852	3.067314973359405e-07	1.9680683451604137e-10
335	1970-01-01 00:00:00.000000335	0.09165116020988838	0.24744461494213518	0.01272932780798466	3.040795939224817e-07	1.9664973124975513e-10
